Identificador	RustIndex	Necrosis	Chlorosis	Threshold	Exetime
153.jpg	7.13%	2.36%	4.76%	2.65%	5424
154.jpg	42.91%	20.75%	22.16%	4.50%	4420
155.jpg	14.48%	6.25%	8.24%	4.88%	3522
156.jpg	40.06%	18.47%	21.59%	5.28%	4389
157.jpg	27.14%	19.48%	7.66%	2.91%	6321
158.jpg	6.94%	3.46%	3.48%	1.97%	6116
159.jpg	18.04%	8.54%	9.51%	2.47%	3010
160.jpg	14.75%	4.93%	9.82%	3.46%	2257
161.jpg	9.44%	3.87%	5.57%	1.93%	4057
162.jpg	1.80%	0.99%	0.81%	1.29%	4292
163.jpg	2.35%	1.64%	0.71%	1.69%	5871
164.jpg	1.02%	0.54%	0.47%	0.26%	5636
165.jpg	1.76%	1.10%	0.66%	1.01%	6400
166.jpg	3.81%	1.95%	1.87%	1.68%	4535
167.jpg	0.49%	0.49%	0.00%	0.22%	2564
168.jpg	2.06%	0.77%	1.29%	1.54%	3292
169.jpg	76.11%	50.07%	26.04%	2.63%	3117
170.jpg	32.94%	11.82%	21.11%	5.15%	2835
171.jpg	14.65%	5.50%	9.15%	2.43%	2288
172.jpg	13.10%	7.25%	5.85%	3.19%	4499
173.jpg	1.26%	0.70%	0.56%	1.82%	4423
174.jpg	9.15%	3.73%	5.43%	3.12%	3192
175.jpg	54.83%	32.11%	22.71%	3.58%	2946
176.jpg	96.21%	77.58%	18.63%	0.21%	2166
177.jpg	26.82%	13.18%	13.65%	5.04%	1324
178.jpg	52.09%	39.21%	12.87%	4.12%	2989
179.jpg	16.72%	7.17%	9.55%	4.36%	2472
180.jpg	61.33%	36.25%	25.08%	5.00%	3527
181.jpg	38.81%	21.25%	17.57%	5.91%	3614
182.jpg	58.03%	40.93%	17.10%	5.72%	2777
183.jpg	71.18%	52.30%	18.88%	2.64%	2043
184.jpg	87.66%	63.83%	23.84%	5.43%	5006
185.jpg	70.69%	47.00%	23.69%	3.32%	3567
186.jpg	84.39%	51.23%	33.16%	1.25%	5159
187.jpg	32.50%	19.04%	13.46%	5.13%	3037
188.jpg	77.68%	52.47%	25.22%	2.99%	3262
189.jpg	5.45%	3.01%	2.45%	3.01%	4168
190.jpg	34.72%	24.09%	10.64%	2.34%	2323
191.jpg	30.22%	15.96%	14.26%	4.67%	3546
192.jpg	1.15%	0.73%	0.43%	0.63%	7801
193.jpg	14.41%	8.17%	6.24%	3.15%	6995
194.jpg	0.60%	0.38%	0.22%	0.61%	7527
195.jpg	98.71%	93.87%	4.84%	0.82%	5222
196.jpg	36.12%	18.92%	17.20%	4.71%	5776
197.jpg	27.49%	16.00%	11.49%	4.74%	5686
198.jpg	44.24%	27.94%	16.30%	3.64%	5094
199.jpg	2.89%	1.16%	1.72%	1.58%	5017
200.jpg	98.45%	87.94%	10.50%	1.29%	5612
